target,transformed_text
0,go jurong point crazy available bugis n great world la e buffet cine got amore wat go jurong point crazi avail bugi n great world la e buffet cine got amor wat
0,ok lar joking wif u oni ok lar joke wif u oni
1,free entry 2 wkly comp win fa cup final tkts 21st may text fa 87121 receive entry question std txt rate c apply 08452810075over18 free entri 2 wkli comp win fa cup final tkt 21st may text fa 87121 receiv entri question std txt rate c appli 08452810075over18
0,u dun say early hor u c already say u dun say earli hor u c alreadi say
0,nah think goes usf lives around though nah think goe usf live around though
1,freemsg hey darling 3 week word back like fun still tb ok xxx std chgs send rcv freemsg hey darl 3 week word back like fun still tb ok xxx std chg send rcv
0,even brother like speak treat like aids patent even brother like speak treat like aid patent
0,per request melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
1,winner valued network customer selected receivea prize reward claim call claim code kl341 valid 12 hours winner valu network custom select receivea prize reward claim call claim code kl341 valid 12 hour
1,mobile 11 months u r entitled update latest colour mobiles camera free call mobile update co free 08002986030 mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030
0,gon na home soon want talk stuff anymore tonight k cried enough today gon na home soon want talk stuff anymor tonight k cri enough today
1,six chances win cash 100 pounds txt csh11 send cost 6days tsandcs apply reply hl 4 info six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info
1,urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18 urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18
0,searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times search right word thank breather promis wont take help grant fulfil promis wonder bless time
0,date sunday date sunday
1,xxxmobilemovieclub use credit click wap link next txt message click http xxxmobilemovieclub use credit click wap link next txt messag click http
0,oh k watching oh k watch
0,eh u remember 2 spell name yes v naughty make v wet eh u rememb 2 spell name ye v naughti make v wet
0,fine thatåõs way u feel thatåõs way gota b fine thatåõ way u feel thatåõ way gota b
1,england v macedonia dont miss news txt ur national team 87077 eg england 87077 try wales scotland poboxox36504w45wq england v macedonia dont miss news txt ur nation team 87077 eg england 87077 tri wale scotland poboxox36504w45wq
0,seriously spell name serious spell name
0,going try 2 months ha ha joking go tri 2 month ha ha joke
0,pay first lar da stock comin pay first lar da stock comin
0,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi
0,ffffffffff alright way meet sooner ffffffffff alright way meet sooner
0,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
0,lol always convincing lol alway convinc
0,catch bus frying egg make tea eating mom left dinner feel love catch bu fri egg make tea eat mom left dinner feel love
0,back amp packing car let know room back amp pack car let know room
0,ahhh work vaguely remember feel like lol ahhh work vagu rememb feel like lol
0,wait still clear sure sarcastic x want live us wait still clear sure sarcast x want live us
0,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wo go badly cheers yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wo go badli cheer
0,k tell anything k tell anyth
0,fear fainting housework quick cuppa fear faint housework quick cuppa
1,thanks subscription ringtone uk mobile charged please confirm replying yes reply charged thank subscript rington uk mobil charg pleas confirm repli ye repli charg
0,yup ok go home look timings msg xuhui going learn 2nd may lesson 8am yup ok go home look time msg xuhui go learn 2nd may lesson 8am
0,oops let know roommate done oop let know roommat done
0,see letter b car see letter b car
0,anything lor u decide anyth lor u decid
0,hello saturday go texting see decided anything tomo trying invite anything hello saturday go text see decid anyth tomo tri invit anyth
0,pls go ahead watts wanted sure great weekend abiola pl go ahead watt want sure great weekend abiola
0,forget tell want need crave love sweet arabian steed mmmmmm yummy forget tell want need crave love sweet arabian steed mmmmmm yummi
1,07732584351 rodger burns msg tried call reply sms free nokia mobile free camcorder please call 08000930705 delivery tomorrow 07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow
0,seeing see
0,great hope like man well endowed lt gt inches great hope like man well endow lt gt inch
0,calls messages missed calls call messag miss call
0,get hep b immunisation nigeria get hep b immunis nigeria
0,fair enough anything going fair enough anyth go
0,yeah hopefully tyler ca could maybe ask around bit yeah hope tyler ca could mayb ask around bit
0,u know stubborn even want go hospital kept telling mark weak sucker hospitals weak suckers u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker
0,thinked first time saw class think first time saw class
0,gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
0,k fyi x ride early tomorrow morning crashing place tonight k fyi x ride earli tomorrow morn crash place tonight
0,wow never realized embarassed accomodations thought liked since best could always seemed happy sorry give sorry offered sorry room embarassing wow never realiz embarass accomod thought like sinc best could alway seem happi sorri give sorri offer sorri room embarass
1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
0,know mallika sherawat yesterday find lt url gt know mallika sherawat yesterday find lt url gt
1,congrats 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss
0,sorry call later meeting sorri call later meet
0,tell reached tell reach
0,yes gauti sehwag odi series ye gauti sehwag odi seri
0,gon na pick 1 burger way home ca even move pain killing gon na pick 1 burger way home ca even move pain kill
0,ha ha ha good joke girls situation seekers ha ha ha good joke girl situat seeker
0,part checking iq part check iq
0,sorry roommates took forever ok come sorri roommat took forev ok come
0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
1,valued customer pleased advise following recent review mob awarded bonus prize call 09066364589 valu custom pleas advis follow recent review mob award bonu prize call 09066364589
0,today dedicated day song u dedicate send ur valuable frnds first rply today dedic day song u dedic send ur valuabl frnd first rpli
1,urgent ur awarded complimentary trip eurodisinc trav aco entry41 claim txt dis 87121 morefrmmob shracomorsglsuplt 10 ls1 3aj urgent ur award complimentari trip eurodisinc trav aco entry41 claim txt di 87121 morefrmmob shracomorsglsuplt 10 ls1 3aj
1,hear new comes ken stuff hear new come ken stuff
0,plane give month end plane give month end
0,wah lucky man save money hee wah lucki man save money hee
0,finished class finish class
0,hi babe im home wan na something xx hi babe im home wan na someth xx
0,k k performed k k perform
0,u call u call
0,waiting machan call free wait machan call free
0,thats cool gentleman treat dignity respect that cool gentleman treat digniti respect
0,like peoples much shy pa like peopl much shi pa
0,operate lt gt oper lt gt
0,still looking job much ta earn still look job much ta earn
0,sorry call later sorri call later
0,call ah call ah
0,ok way home hi hi ok way home hi hi
0,place man place man
0,yup next stop yup next stop
0,call later network urgnt sms call later network urgnt sm
0,real u getting yo need 2 tickets one jacket done already used multis real u get yo need 2 ticket one jacket done alreadi use multi
0,yes started send requests make pain came back back bed double coins factory got ta cash nitros ye start send request make pain came back back bed doubl coin factori got ta cash nitro
0,really still tonight babe realli still tonight babe
0,ela il download come wen ur free ela il download come wen ur free
0,yeah stand close catch something yeah stand close catch someth
0,sorry pain ok meet another night spent late afternoon casualty means done stuff42moro includes time sheets sorry sorri pain ok meet anoth night spent late afternoon casualti mean done stuff42moro includ time sheet sorri
0,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz someone still loves see u smiling smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile
1,please call customer service representative 0800 169 6031 guaranteed cash prize pleas call custom servic repres 0800 169 6031 guarante cash prize
0,havent planning buy later check already lido got 530 show e afternoon u finish work already havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi
